Company,Industry,Region,Year,Company Report,Recommended Disclosure,Report URL
Olam International,"Agriculture, Food, and Forest Products",Asia Pacific,2018,"Olam International Limited Annual Report 2018, p. 94",Metrics and Targets c),https://www.olamgroup.com/content/dam/olamgroup/investor-relations/ir-library/annual-reports/annual-reports-pdfs/Olam-annual-report-fy18-3-in-1.pdf#page=98
Olam International,"Agriculture, Food, and Forest Products",Asia Pacific,2019,"Annual Report 2019, p. 64",Risk Management a); Risk Management b),https://www.olamgroup.com/content/dam/olamgroup/investor-relations/ir-library/annual-reports/annual-reports-pdfs/olam-annual-report-fy19_3-in-1.pdf#page=70
Ontario Teachers’ Pension Plan,Asset Owner,North America,2017,"2017 Annual Report, p. 23",Governance a); Governance b),https://www.otpp.com/content/dam/otpp/documents/reports/2017%20Annual%20Report.pdf#page=27
Orbia,"Agriculture, Food, and Forest Products; Materials and Buildings",North America,2020,"TCFD Report 2020, pp. 2–3",Strategy a),https://www.orbia.com/49908e/siteassets/6.-sustainability/tcfd-reports/2020/orbia-2020-tcfd-report.pdf#page=2
Ørsted,Energy,Europe,2020,"2020 Sustainability Report, p. 32",Strategy b),https://orstedcdn.azureedge.net/-/media/annual2020/sustainability-report-2020.ashx?la=en&rev=552cd4dd7bc3499c8bf2311549d36b94&hash=53664FE832CA1812F310DE35856DA3F4#page=17
Ørsted,Energy,Europe,2018,"Annual Report 2018, pp. 18, 22",Strategy b),https://orsted.com/-/media/Annual_2018/Orsted_Annual_report_2018.ashx?la=en&hash=A64F4AF34FD9CA0EEE78FE7FA690B484#page=18
Ørsted,Energy,Europe,2018,"Annual Report 2018, pp. 26-27",Metrics and Targets a); Metrics and Targets b); Metrics and Targets c),https://orsted.com/-/media/Annual_2018/Orsted_Annual_report_2018.ashx?la=en&hash=A64F4AF34FD9CA0EEE78FE7FA690B484#page=26
Ørsted,Energy,Europe,2018,"ESG Performance Report 2018, pp. 16, 21",Metrics and Targets a); Metrics and Targets b); Metrics and Targets c),https://orsted.com/-/media/Annual_2018/Orsted_ESG_performance_report_2018.ashx?la=en&hash=315A4E48E0AD794B64B9AC56EE7ED2F1#page=16
Ørsted,Energy,Europe,2018,"Sustainability Report 2018, p. 9",Strategy c); Metrics and Targets c),https://orsted.com/-/media/Annual_2018/Sustainability_report_2018.ashx?la=en&hash=7FF3F040A8CD706E766816E8285C3ACD#page=10
Ping: An Insurance (Group) Company of China,Asset Owner,Asia Pacific,2018,"2018 Sustainability Report, pp. 38-39",Risk Management a),http://www.pingan.cn/app_upload/file/official/2018ESGReport_EN.pdf#page=40
POSCO,Materials and Buildings,Asia Pacific,2017,"2017 POSCO Report, p. 39",Metrics and Targets a),http://corporatecitizenship.posco.com/citizen/resources/file/report/eng/posco_report_2017_eng.pdf#page=39
PSEG,Energy,North America,2020,"2020 Climate Report, p. 16",Risk Management c),https://corporate.pseg.com/-/media/pseg/corporate/newsroom/attachments/2020/2020_climate_report.ashx
Repsol,Energy,Europe,2018,"Annual Corporate Governance Report 2018, p. 62, 66",Governance b),https://www.repsol.com/imagenes/global/en/280219_HR3_HR_IAGC_2018_SCIIF_EN_tcm14-147377.pdf#page=62
Repsol,Energy,Europe,2018,"Annual Corporate Governance Report 2018, p. 20",Strategy b),https://www.repsol.com/imagenes/global/en/280219_HR3_HR_IAGC_2018_SCIIF_EN_tcm14-147377.pdf#page=20
Repsol,Energy,Europe,2018,"Annual Corporate Governance Report 2018, p. 67",Metrics and Targets a); Metrics and Targets c),https://www.repsol.com/imagenes/global/en/280219_HR3_HR_IAGC_2018_SCIIF_EN_tcm14-147377.pdf#page=67
